source,target,weight
8,21,1
28,19,1
28,20,1
28,21,1
28,22,1
28,23,1
28,24,1
28,25,1
28,43,1
29,19,1
29,20,1
29,21,1
29,22,1
29,23,1
29,24,1
29,25,1
29,43,1
30,1,1
30,2,1
30,3,1
30,24,1
32,2,1
32,3,1
34,2,1
34,3,1
34,23,1
34,24,1
34,25,1
34,43,1
35,1,1
35,3,1
35,21,1
36,1,1
36,2,1
36,3,1
36,23,1
37,38,1
38,2,1
38,3,1
38,32,1
38,38,1
38,39,1
38,43,1
39,1,1
39,3,1
39,43,1
42,43,1
43,2,1
43,3,1
43,19,1
43,20,1
43,21,1
43,22,1
43,43,1
44,23,1
45,1,1
45,2,1
45,3,1
45,21,1
46,7,1
46,8,1
46,17,1
46,24,1
46,30,1
46,32,1
46,35,1
46,36,1
46,37,1
46,38,1
46,39,1
46,40,1
46,41,1
46,42,1
46,43,1
46,44,1
46,45,1
47,37,1
47,38,1
48,3,1
48,5,1
48,7,1
48,16,1
48,17,1
48,19,1
48,20,1
48,21,1
48,22,1
48,26,1
48,27,1
48,32,1
48,33,1
48,35,1
48,37,1
48,38,1
48,39,1
48,43,1
48,44,1
48,46,1
48,48,1
49,5,1
49,8,1
49,9,1
49,11,1
49,13,1
49,16,1
49,17,1
49,27,1
49,34,1
49,36,1
49,37,1
49,38,1
49,42,1
49,43,1
49,46,1
49,48,1
49,66,1
49,67,1
49,83,1
50,5,1
50,17,1
50,32,1
50,35,1
50,36,1
50,46,1
51,28,1
51,29,1
51,31,1
51,34,1
51,39,1
51,41,1
51,45,1
52,31,1
52,34,1
52,35,1
52,36,1
52,37,1
52,38,1
52,42,1
52,43,1
52,44,1
52,45,1
52,46,1
52,54,1
53,31,1
53,32,1
53,34,1
53,35,1
53,36,1
53,38,1
53,39,1
53,41,1
53,42,1
53,43,1
53,44,1
53,45,1
53,46,1
53,48,1
54,10,1
54,19,1
54,20,1
54,30,1
54,32,1
54,34,1
54,35,1
54,37,1
54,38,1
54,39,1
54,41,1
54,42,1
54,43,1
54,44,1
54,46,1
55,43,1
56,43,1
57,5,1
57,8,1
57,9,1
57,11,1
57,12,1
57,14,1
57,17,1
57,18,1
57,19,1
57,20,1
57,30,1
57,32,1
57,35,1
57,36,1
57,37,1
57,38,1
57,39,1
57,41,1
57,42,1
57,43,1
57,44,1
57,45,1
57,46,1
57,48,1
57,66,1
57,67,1
58,43,1
59,8,1
59,10,1
59,11,1
59,17,1
59,18,1
59,19,1
59,20,1
59,30,1
59,32,1
59,33,1
59,34,1
59,35,1
59,36,1
59,37,1
59,38,1
59,39,1
59,40,1
59,41,1
59,42,1
59,43,1
59,44,1
59,45,1
60,43,1
61,30,1
61,34,1
61,35,1
61,36,1
61,37,1
61,38,1
61,42,1
61,44,1
61,48,1
62,43,1
63,38,1
64,35,1
64,46,1
64,48,1
64,66,1
64,67,1
65,46,1
65,80,1
65,81,1
66,43,1
66,48,1
67,5,1
67,8,1
67,9,1
67,10,1
67,11,1
67,12,1
67,13,1
67,14,1
67,15,1
67,16,1
67,17,1
67,19,1
67,20,1
67,30,1
67,32,1
67,35,1
67,36,1
67,37,1
67,38,1
67,41,1
67,42,1
67,43,1
67,44,1
67,45,1
67,46,1
67,48,1
68,43,1
69,43,1
70,43,1
71,43,1
72,34,1
72,36,1
72,37,1
72,38,1
72,42,1
72,43,1
72,44,1
72,46,1
72,70,1
72,71,1
73,36,1
73,42,1
73,43,1
74,38,1
74,42,1
74,43,1
74,44,1
75,43,1
76,17,1
76,38,1
76,43,1
77,37,1
77,42,1
77,43,1
77,46,1
78,43,1
79,48,1
79,66,1
79,67,1
80,5,1
80,7,1
80,8,1
80,9,1
80,10,1
80,11,1
80,16,1
80,18,1
80,19,1
80,21,1
80,26,1
80,43,1
81,17,1
81,26,1
81,27,1
81,35,1
81,48,1
82,43,1
83,43,1
84,5,1
84,8,1
84,9,1
84,13,1
84,17,1
84,26,1
84,43,1
84,48,1
85,5,1
85,7,1
85,8,1
85,9,1
85,17,1
85,21,1
85,22,1
85,27,1
85,34,1
85,35,1
85,36,1
85,37,1
85,38,1
85,42,1
85,43,1
85,44,1
85,46,1
85,48,1
86,5,1
86,21,1
86,22,1
86,42,1
86,43,1
86,48,1
87,17,1
87,35,1
87,37,1
87,38,1
87,43,1
88,43,1
89,5,1
89,38,1
90,36,1
90,37,1
90,38,1
90,42,1
90,44,1
90,46,1
91,4,1
91,5,1
91,6,1
91,35,1
91,43,1
91,47,1
91,48,1
91,49,1
91,66,1
91,67,1
91,80,1
91,81,1
91,82,1
92,49,1
92,50,1
92,51,1
92,52,1
92,53,1
92,55,1
92,56,1
92,57,1
92,58,1
92,59,1
92,60,1
92,61,1
92,62,1
92,63,1
92,64,1
92,66,1
92,67,1
92,68,1
92,69,1
92,72,1
92,73,1
92,74,1
92,75,1
92,76,1
92,77,1
92,78,1
92,80,1
92,81,1
92,84,1
92,85,1
92,86,1
92,87,1
92,88,1
92,89,1
92,90,1
